[soak] t_ms=60046 frame=7764 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=64.6 bps=116177 rtt=1 lag=2 last=48 pm=5013 pr=5013 pb=9111279 w[t=256 ob=0/0 st=64 hm=63 vp=27 c=20]
[soak] t_ms=65059 frame=8365 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=74.0 bps=131126 rtt=1 lag=0 last=6 pm=5312 pr=5312 pb=9670741 w[t=256 ob=0/0 st=64 hm=66 vp=27 c=20]
[soak] t_ms=70060 frame=8965 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=44.2 bps=78841 rtt=1 lag=0 last=61 pm=5616 pr=5616 pb=10224164 w[t=256 ob=0/0 st=64 hm=72 vp=3 c=20]
[soak] t_ms=75063 frame=9566 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=54.5 bps=112490 rtt=1 lag=1 last=39 pm=6144 pr=6144 pb=11170155 w[t=256 ob=0/0 st=64 hm=75 vp=5 c=20]
[soak] t_ms=80076 frame=10167 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=117.1 bps=212890 rtt=1 lag=3 last=5 pm=6514 pr=6514 pb=11819896 w[t=256 ob=0/0 st=64 hm=80 vp=10 c=20]
[soak] t_ms=85076 frame=10767 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=1 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=88.9 bps=198066 rtt=3 lag=3 last=1 pm=6980 pr=6980 pb=12737708 w[t=256 ob=0/0 st=64 hm=85 vp=13 c=20]
[soak] t_ms=90076 frame=11367 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=74.4 bps=196295 rtt=3 lag=1 last=21 pm=7411 pr=7411 pb=13523589 w[t=256 ob=0/0 st=64 hm=90 vp=15 c=20]
[soak] t_ms=95076 frame=11967 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=44.9 bps=78988 rtt=3 lag=0 last=39 pm=7669 pr=7669 pb=14009035 w[t=256 ob=0/0 st=64 hm=96 vp=15 c=20]
[soak] t_ms=100076 frame=12567 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=255.0 bps=380249 rtt=3 lag=2 last=29 pm=8198 pr=8198 pb=14897905 w[t=256 ob=0/0 st=64 hm=100 vp=16 c=20]
[soak] t_ms=105076 frame=13167 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=52.9 bps=134433 rtt=1 lag=2 last=16 pm=8537 pr=8537 pb=15614042 w[t=256 ob=0/0 st=64 hm=106 vp=16 c=20]
[soak] t_ms=110076 frame=13766 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=1 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=214.0 bps=210314 rtt=1 lag=2 last=38 pm=8986 pr=8986 pb=16397154 w[t=256 ob=0/0 st=64 hm=112 vp=16 c=20]
[soak] t_ms=115077 frame=14366 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=74.5 bps=207060 rtt=1 lag=0 last=25 pm=9588 pr=9588 pb=17483228 w[t=256 ob=0/0 st=64 hm=117 vp=16 c=21]
[soak] t_ms=120076 frame=14966 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=58.3 bps=121328 rtt=1 lag=1 last=65 pm=9936 pr=9936 pb=18182231 w[t=256 ob=0/0 st=64 hm=122 vp=16 c=21]
[soak] t_ms=125076 frame=15566 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=62.8 bps=129588 rtt=1 lag=0 last=0 pm=10410 pr=10410 pb=19003783 w[t=256 ob=0/0 st=64 hm=128 vp=18 c=21]
[soak] t_ms=130077 frame=16164 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=57.0 bps=104907 rtt=1 lag=2 last=79 pm=10672 pr=10672 pb=19504296 w[t=256 ob=0/0 st=64 hm=128 vp=3 c=21]
[soak] t_ms=135080 frame=16765 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=50.3 bps=98536 rtt=1 lag=1 last=25 pm=11049 pr=11049 pb=20214781 w[t=256 ob=0/0 st=64 hm=128 vp=6 c=21]
[soak] t_ms=140093 frame=17366 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=54.6 bps=110205 rtt=1 lag=1 last=25 pm=11340 pr=11340 pb=20743825 w[t=256 ob=0/0 st=64 hm=128 vp=7 c=21]
[soak] t_ms=145093 frame=17966 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=49.4 bps=111983 rtt=1 lag=2 last=11 pm=11720 pr=11720 pb=21308280 w[t=256 ob=0/0 st=64 hm=128 vp=7 c=21]
[soak] t_ms=150093 frame=18566 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=4 qmax=1 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=93.7 bps=115069 rtt=1 lag=3 last=1 pm=12161 pr=12161 pb=21970043 w[t=256 ob=0/0 st=64 hm=128 vp=8 c=21]
[soak] t_ms=155094 frame=19166 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=2 rc=0 rc+0 mps=63.3 bps=115602 rtt=1 lag=6 last=0 pm=12652 pr=12652 pb=22838620 w[t=256 ob=0/0 st=64 hm=128 vp=11 c=21]
[soak] t_ms=160094 frame=19766 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=55.7 bps=93881 rtt=1 lag=2 last=42 pm=12900 pr=12900 pb=23235136 w[t=256 ob=0/0 st=64 hm=128 vp=12 c=21]
[soak] t_ms=165094 frame=20366 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=1 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=40.8 bps=75052 rtt=1 lag=2 last=3 pm=13196 pr=13196 pb=23736748 w[t=256 ob=0/0 st=64 hm=128 vp=12 c=21]
[soak] t_ms=170094 frame=20966 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=77.6 bps=112804 rtt=1 lag=4 last=9 pm=13650 pr=13650 pb=24466926 w[t=256 ob=0/0 st=64 hm=128 vp=17 c=21]
[soak] t_ms=175094 frame=21566 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=59.3 bps=145833 rtt=1 lag=3 last=2 pm=13958 pr=13958 pb=25069188 w[t=256 ob=0/0 st=64 hm=128 vp=17 c=22]
[soak] t_ms=180094 frame=22166 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=49.8 bps=94910 rtt=1 lag=0 last=30 pm=14302 pr=14302 pb=25694077 w[t=256 ob=0/0 st=64 hm=128 vp=18 c=22]
[soak] t_ms=185094 frame=22766 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=8 qmax=1 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=65.0 bps=108115 rtt=1 lag=1 last=1 pm=14628 pr=14628 pb=26266163 w[t=256 ob=0/0 st=64 hm=128 vp=1 c=22]
[soak] t_ms=190094 frame=23366 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=54.6 bps=99068 rtt=1 lag=2 last=0 pm=14927 pr=14927 pb=26827945 w[t=256 ob=0/0 st=64 hm=128 vp=3 c=22]
[soak] t_ms=195094 frame=23966 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=75.0 bps=138828 rtt=1 lag=2 last=2 pm=15189 pr=15189 pb=27265150 w[t=256 ob=0/0 st=64 hm=128 vp=6 c=22]
[soak] t_ms=200094 frame=24566 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=53.8 bps=122228 rtt=1 lag=2 last=3 pm=15632 pr=15632 pb=28137467 w[t=256 ob=0/0 st=64 hm=128 vp=7 c=22]
[soak] t_ms=205096 frame=25167 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=129.8 bps=312682 rtt=1 lag=6 last=44 pm=16275 pr=16275 pb=29014005 w[t=256 ob=0/0 st=64 hm=128 vp=7 c=22]
[soak] t_ms=210096 frame=25767 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=54.7 bps=96347 rtt=1 lag=1 last=5 pm=16564 pr=16564 pb=29476965 w[t=256 ob=0/0 st=64 hm=128 vp=8 c=22]
